Year,1,1000,1500,1650,1750,1804,1850,1900,1930,1950,1960,1974,1980,1987,1998,2010,2022,2029,2037,2046,2060,2100
Population,0.2,0.275,0.45,0.5,0.7,1,1.2,1.6,2,2.55,3,4,4.5,5,6,7,8,8.5,9,9.5,10,10.2
