rank,manga_name,autors,chapters_published,status,reading_type
1,Happy Nest,Nakamura Yukichi,1,Ongoing,Right to Left
2,A Story About Kissing,Garun,1,Ongoing,Right to Left
3,ACCEPT MY FIST OF LOVE,Murata,4,Ongoing,Right to Left
4,Bombingsu,Pano,2,Ongoing,Left to Right
5,L-size Little Sister,No Sensei,15,Ongoing,Right to Left
6,Mousou Honey,MIKUNI Hajime,4,Ongoing,Right to Left
7,Candy Boy,TOUGE Hiro (Story & Art),11,Ongoing,Right to Left
