rank,manga_name,autors,chapters_published,status,reading_type
84,Parallel Paradise,Okamoto Lynn,292,Ongoing,Right to Left
85,Kakegurui,KAWAMOTO Homura,115,Ongoing,Right to Left
86,Kemono Jihen,Aimoto Shou,71,Ongoing,Right to Left
87,RaW Hero,Hiramoto Akira,41,Ongoing,Right to Left
88,I Was Trash,SAN H,216,Ongoing,Right to Left
89,Jimi na Kensei wa Sore Demo Saikyou desu,Rokuro Akashi,77,Ongoing,Right to Left
90,Kage no Jitsuryokusha ni Naritakute,Aizawa Daisuke,72b,Ongoing,Right to Left
91,The Hero Who Seeks Revenge Shall Exterminate with Darkness,Ononata Manimani,113e,Ongoing,Right to Left
92,8Kaijuu,Matsumoto Naoya,126,Ongoing,Right to Left
93,Kenja No Mago,YOSHIOKA Tsuyosh,86,Ongoing,Right to Left
94,A Returner's Magic Should Be Special,"Usonan, Yu So Nan",269,Ongoing,Manhwa
95,Akatsuki no Yona,KUSANAGI Mizuho,269,Ongoing,Right to Left
96,Kengan Ashua,SANDROVICH Yabako,236e,Ongoing,Right to Left
97,Martial Peak,Momo (莫默); Pikapi (噼咔噼),3833,Ongoing,Manhua
98,The Beginning After the End,TurtleMe,217,Ongoing,Left to Right
99,Cheating Men Must Die,The King,463,Ongoing,Manhua
100,Second Life Ranker,"Nong Nong, Sadoyeon (사도연)",206,Ongoing,Manhwa
101,OnePunch-Man (ONE),One,153,Ongoing,Right to Left
102,Suki Desu Suzuki-Kun,"Ikeyamada, Go (Story & Art)",71a,Ongoing,Right to Left
103,Apotheosis,Ranzai Studio,502,Ongoing,Left to Right
104,Owari no Seraph,KAGAMI Takaya,146,Ongoing,Right to Left
105,Isekai Nonbiri Nouka,NAITOU Kinosuke,267,Ongoing,Right to Left
106,Tonikaku Cawaii,Hata Kenjiro,313,Ongoing,Right to Left
107,Tomo-Chan wa Onnanoko!,Yanagida Fumita,954,Ongoing,Right to Left
108,Bakemonogatari,Nishio Ishin,193,Ongoing,Right to Left
109,Yahari Ore no Seishun Rabukome wa Machigatte Iru. - Mougenroku,WATARI Wataru,86,Ongoing,Right to Left
110,Shokugeki no Soma - Le Dessert,Tsukuda Yuuto,3,Ongoing,Right to Left
111,Survival Story of a Sword King in a Fantasy World,"Kwon Sun Kyu, SSOSKF, SOON-Q / YKB",243,Ongoing,Left to Right
112,Jaryuu Tensei,Seto Meguru,47,Ongoing,Right to Left
113,Hardcore Leveling Warrior,Kim Se Hun,395,Ongoing,Manhwa
114,The Descent of the Demonic Master,Wolbaek,171e,Ongoing,Left to Right
115,The God of High School,PARK Yong-Je,570,Ongoing,Manhwa
116,Jujutsu Kaisen,Akutami Gege,271,Completed,Right to Left
117,Tomb Raider King,Yoonz,411,Ongoing,Manhwa
118,Golden Kamui,NODA Satoru,314,Ongoing,Right to Left
119,Vinland Saga,Yukimura Makoto,218,Ongoing,Right to Left
120,Yuan Zun,"Tian Can Tu Dou, Future Days Media",652e,Ongoing,Manhua
121,Demon Lord at Work!,WAGAHARA Satoshi,112,Ongoing,Right to Left
122,Peerless Dad,Cyungchan Noh,296,Ongoing,Left to Right
123,Ao Ashi,"Kobayashi Yuugo, Ueno Naohiko",405,Ongoing,Right to Left
124,Blue Lock,Kaneshiro Muneyuki,300,Ongoing,Right to Left
125,Yuragi-sou no Yuuna-san,Miura Tadahiro,209,Ongoing,Right to Left
126,Ao No Exorcist,Katou Kazue,157,Ongoing,Right to Left
127,Kawaiikereba Hentai demo Suki ni Natte Kuremasu ka?,Hanama Tomo,37,Ongoing,Right to Left
128,Ore wo Suki Nano wa Omae Dake ka yo,Rakuda,41,Ongoing,Right to Left
129,Goblin Slayer: Side Story Year One,Kagyu Kumo,118,Ongoing,Right to Left
130,"To You, The Immortal",Ooima Yoshitoki,200a,Ongoing,Right to Left
131,Kono Oto Tomare!,Amyuu,141,Ongoing,Right to Left
132,Isekai Maou to Shoukan Shoujo Dorei Majutsu,Murasaki Yukiya,113c,Ongoing,Right to Left
133,Maougakuin no Futekigousha,Shuu,15,Ongoing,Right to Left
134,Isekai Meikyuu de Harem o,Sogano Shachi,96,Ongoing,Right to Left
135,"Skeleton Soldier Couldn""t Protect the Dungeon",Sosori,325,Ongoing,Left to Right
136,I Am the Sorcerer King,Decaspell,143,Ongoing,Left to Right
137,Ore dake Haireru Kakushi Dungeon: Kossori Kitaete Sekai Saikyou,Seto Meguru,99,Ongoing,Right to Left
138,Black Clover Gaiden: Quartet Knights,Tabata Yuuki,40,Ongoing,Right to Left
139,Player Reborn,Meng Xiao Hua,194,Ongoing,Right to Left
140,Gleipnir,Takeda Sun,88,Completed,Right to Left
141,Omniscient Reader's Viewpoint,"Sing-Shong, Sing N Song (싱숑); UMI",260,Ongoing,Manhwa
142,"Kimi to Boku no Saigo no Senjou, arui wa Sekai ga Hajimaru Seisen",Sazane Kei,43,Ongoing,Right to Left
143,Takayukashiki Shoujo,"Shiozaki Yuji, Takigawa Izumi",34,Completed,Right to Left
144,Rebuild World,Nafuse,68,Ongoing,Right to Left
145,Kaifuku Jutsushi no Yarinaoshi,Tsukiyo Rui,70b,Ongoing,Right to Left
146,Yong Heng Zhi Zun,Jian You Tai Xu,326,Ongoing,Right to Left
147,Tsukiiro no Invader,Yamano Ran,10,Ongoing,Right to Left
148,Chronicles of Heavenly Demon,Il-hwang,252,Ongoing,Left to Right
149,The Second Coming of Gluttony,Ro Yu-jin,109,Ongoing,Left to Right
150,The Strongest God King,Edge Man Cartoon,75,Ongoing,Right to Left
151,Bungou Stray Dogs,ASAGIRI Kafuka,123,Ongoing,Right to Left
152,Kuma Kuma Kuma Bear,Kumanano,110f,Ongoing,Right to Left
153,Moon-led Journey Across Another World,AZUMI Kei,104,Ongoing,Right to Left
154,Orient,Ohtaka Shinobu,156,Ongoing,Right to Left
155,Burning Effect,Park Tae-hyun???,212,Ongoing,Manhwa
156,Overgeared (Team Argo),"Dong Wook Lee, Saenal (박새날), Monohumbug (이동욱)",276,Ongoing,Left to Right
157,World Trigger,ASHIHARA Daisuke,252,Ongoing,Right to Left
158,Kushuku Gakkou No Juliet,Kaneda Yousuke,119,Ongoing,Right to Left
159,The New Gate,KAZANAMI Shinogi,110,Ongoing,Right to Left
160,Kuro no Shoukanshi,Mayoi Tofu,162,Ongoing,Right to Left
